Language,Total Records,File Name,Run Number,Point,Cycles
c,0,0_rows.csv,1,Start Read People CSV File,7276598012292
c,0,0_rows.csv,1,Start Validate Person Rows,7276600902930
c,0,0_rows.csv,1,Start Quick Sort Person Rows,7276603707688
c,0,0_rows.csv,1,Start Print Person Rows,7276606388583
c,0,0_rows.csv,1,Start Free Used Memory,7276609168983
c,0,0_rows.csv,1,End Program,7276611885334
c,0,0_rows.csv,2,Start Read People CSV File,7280964908344
c,0,0_rows.csv,2,Start Validate Person Rows,7280968688093
c,0,0_rows.csv,2,Start Quick Sort Person Rows,7280972045105
c,0,0_rows.csv,2,Start Print Person Rows,7280975261457
c,0,0_rows.csv,2,Start Free Used Memory,7280978636194
c,0,0_rows.csv,2,End Program,7280981356788
c,0,0_rows.csv,3,Start Read People CSV File,7285361903370
c,0,0_rows.csv,3,Start Validate Person Rows,7285365054524
c,0,0_rows.csv,3,Start Quick Sort Person Rows,7285368116401
c,0,0_rows.csv,3,Start Print Person Rows,7285371088051
c,0,0_rows.csv,3,Start Free Used Memory,7285373886671
c,0,0_rows.csv,3,End Program,7285377847857
c,0,0_rows.csv,4,Start Read People CSV File,7289753499590
c,0,0_rows.csv,4,Start Validate Person Rows,7289756401860
c,0,0_rows.csv,4,Start Quick Sort Person Rows,7289759248328
c,0,0_rows.csv,4,Start Print Person Rows,7289762036135
c,0,0_rows.csv,4,Start Free Used Memory,7289764753482
c,0,0_rows.csv,4,End Program,7289767549984
c,0,0_rows.csv,5,Start Read People CSV File,7294127624397
c,0,0_rows.csv,5,Start Validate Person Rows,7294130597043
c,0,0_rows.csv,5,Start Quick Sort Person Rows,7294133307897
c,0,0_rows.csv,5,Start Print Person Rows,7294136094549
c,0,0_rows.csv,5,Start Free Used Memory,7294138776930
c,0,0_rows.csv,5,End Program,7294141555243
c,0,0_rows.csv,6,Start Read People CSV File,7298536899955
c,0,0_rows.csv,6,Start Validate Person Rows,7298539816837
c,0,0_rows.csv,6,Start Quick Sort Person Rows,7298542662926
c,0,0_rows.csv,6,Start Print Person Rows,7298545343936
c,0,0_rows.csv,6,Start Free Used Memory,7298548121493
c,0,0_rows.csv,6,End Program,7298551042176
c,0,0_rows.csv,7,Start Read People CSV File,7302940658950
c,0,0_rows.csv,7,Start Validate Person Rows,7302943661874
c,0,0_rows.csv,7,Start Quick Sort Person Rows,7302946443301
c,0,0_rows.csv,7,Start Print Person Rows,7302949166208
c,0,0_rows.csv,7,Start Free Used Memory,7302951931642
