Language,Total Records,File Name,Run Number,Point,Cycles
c,100000,100000_rows.csv,1,Start File Read,552505298209
c,100000,100000_rows.csv,1,Start Map to Person Record,552683581695
c,100000,100000_rows.csv,1,Start QuickSort Person Array,552851213006
c,100000,100000_rows.csv,1,Start Print Results,553885707338
c,100000,100000_rows.csv,1,Start Free Memory,554105497376
c,100000,100000_rows.csv,1,End Program,554313635910
c,100000,100000_rows.csv,2,Start File Read,560520968194
c,100000,100000_rows.csv,2,Start Map to Person Record,560695509039
c,100000,100000_rows.csv,2,Start QuickSort Person Array,560862615276
c,100000,100000_rows.csv,2,Start Print Results,561893009562
c,100000,100000_rows.csv,2,Start Free Memory,562108814661
c,100000,100000_rows.csv,2,End Program,562316515362
c,100000,100000_rows.csv,3,Start File Read,568499957147
c,100000,100000_rows.csv,3,Start Map to Person Record,568674056690
c,100000,100000_rows.csv,3,Start QuickSort Person Array,568840892933
c,100000,100000_rows.csv,3,Start Print Results,569875623333
c,100000,100000_rows.csv,3,Start Free Memory,570092286150
c,100000,100000_rows.csv,3,End Program,570299883195
c,100000,100000_rows.csv,4,Start File Read,576440561300
c,100000,100000_rows.csv,4,Start Map to Person Record,576613355359
c,100000,100000_rows.csv,4,Start QuickSort Person Array,576778800202
c,100000,100000_rows.csv,4,Start Print Results,577811404563
c,100000,100000_rows.csv,4,Start Free Memory,578025936832
c,100000,100000_rows.csv,4,End Program,578229224336
c,100000,100000_rows.csv,5,Start File Read,584379375148
c,100000,100000_rows.csv,5,Start Map to Person Record,584552285291
c,100000,100000_rows.csv,5,Start QuickSort Person Array,584735614846
c,100000,100000_rows.csv,5,Start Print Results,585767586490
c,100000,100000_rows.csv,5,Start Free Memory,585981611822
c,100000,100000_rows.csv,5,End Program,586187524223
c,100000,100000_rows.csv,6,Start File Read,592310618008
c,100000,100000_rows.csv,6,Start Map to Person Record,592487408682
c,100000,100000_rows.csv,6,Start QuickSort Person Array,592659204473
c,100000,100000_rows.csv,6,Start Print Results,593689755162
c,100000,100000_rows.csv,6,Start Free Memory,593910279711
c,100000,100000_rows.csv,6,End Program,594106902241
