Language,Total Records,File Name,Run Number,Instructions Executed,Heap Memory (B),Extra Heap Memory (B),Stack Memory (B)
c,100000,100000_rows.csv,1,0,0,0,0
c,100000,100000_rows.csv,1,19217,0,0,336
c,100000,100000_rows.csv,1,47846,0,0,1104
c,100000,100000_rows.csv,1,69360,0,0,2000
c,100000,100000_rows.csv,1,82221,0,0,1936
c,100000,100000_rows.csv,1,106486,0,0,1680
c,100000,100000_rows.csv,1,120890,0,0,1680
c,100000,100000_rows.csv,1,150618,0,0,1936
c,100000,100000_rows.csv,1,169315,0,0,1680
c,100000,100000_rows.csv,1,197166,0,0,2000
c,100000,100000_rows.csv,1,215842,0,0,2000
c,100000,100000_rows.csv,1,228229,0,0,1680
c,100000,100000_rows.csv,1,249324,0,0,1680
c,100000,100000_rows.csv,1,272617,0,0,2000
c,100000,100000_rows.csv,1,293371,0,0,2000
c,100000,100000_rows.csv,1,313135,0,0,2000
c,100000,100000_rows.csv,1,340817,0,0,2000
c,100000,100000_rows.csv,1,363025,0,0,2000
c,100000,100000_rows.csv,1,378719,0,0,1680
c,100000,100000_rows.csv,1,394243,0,0,2000
c,100000,100000_rows.csv,1,419239,0,0,144
c,100000,100000_rows.csv,1,446899,3908,284,1328
c,100000,100000_rows.csv,1,466679,5712,408,1472
c,100000,100000_rows.csv,1,480087,21012,524,1488
c,100000,100000_rows.csv,1,500405,23538,1902,1424
c,100000,100000_rows.csv,1,513089,24993,2767,1456
c,100000,100000_rows.csv,1,542248,32418,4446,1472
c,100000,100000_rows.csv,1,565495,35006,5826,1344
c,100000,100000_rows.csv,1,584520,54882,6654,1120
c,100000,100000_rows.csv,1,613417,54882,6654,992
c,100000,100000_rows.csv,1,636979,57668,7412,1424
c,100000,100000_rows.csv,1,655350,57680,7424,1440
c,100000,100000_rows.csv,1,677162,57668,7412,1040
c,100000,100000_rows.csv,1,691906,57668,7412,1040
c,100000,100000_rows.csv,1,709301,57668,7412,1200
c,100000,100000_rows.csv,1,739078,57668,7412,1328
c,100000,100000_rows.csv,1,768715,57668,7412,992
