Language,Total Records,File Name,Run Number,Point,Cycles
c,100000,100000_rows.csv,1,Start File Read,29638396797512
c,100000,100000_rows.csv,1,Start Map to Person Record,29638441359410
c,100000,100000_rows.csv,1,Start Quick Sort Person Array,29638522700538
c,100000,100000_rows.csv,1,Start Print Results,29638631602103
c,100000,100000_rows.csv,1,Start Free Memory,29638651963599
c,100000,100000_rows.csv,1,End Program,29638690978135
c,100000,100000_rows.csv,2,Start File Read,29640055720764
c,100000,100000_rows.csv,2,Start Map to Person Record,29640111660576
c,100000,100000_rows.csv,2,Start Quick Sort Person Array,29640169465224
c,100000,100000_rows.csv,2,Start Print Results,29640280216370
c,100000,100000_rows.csv,2,Start Free Memory,29640325040778
c,100000,100000_rows.csv,2,End Program,29640383871462
c,100000,100000_rows.csv,3,Start File Read,29641724808794
c,100000,100000_rows.csv,3,Start Map to Person Record,29641777672082
c,100000,100000_rows.csv,3,Start Quick Sort Person Array,29641865544316
c,100000,100000_rows.csv,3,Start Print Results,29641965766212
c,100000,100000_rows.csv,3,Start Free Memory,29642011471044
c,100000,100000_rows.csv,3,End Program,29642065696368
c,100000,100000_rows.csv,4,Start File Read,29643474133994
c,100000,100000_rows.csv,4,Start Map to Person Record,29643511617304
c,100000,100000_rows.csv,4,Start Quick Sort Person Array,29643570024382
c,100000,100000_rows.csv,4,Start Print Results,29643666333542
c,100000,100000_rows.csv,4,Start Free Memory,29643706413852
c,100000,100000_rows.csv,4,End Program,29643764035388
c,100000,100000_rows.csv,5,Start File Read,29645119291006
c,100000,100000_rows.csv,5,Start Map to Person Record,29645154228266
c,100000,100000_rows.csv,5,Start Quick Sort Person Array,29645223890108
c,100000,100000_rows.csv,5,Start Print Results,29645341900528
c,100000,100000_rows.csv,5,Start Free Memory,29645375037286
c,100000,100000_rows.csv,5,End Program,29645427423806
c,100000,100000_rows.csv,6,Start File Read,29646793761448
c,100000,100000_rows.csv,6,Start Map to Person Record,29646849120584
c,100000,100000_rows.csv,6,Start Quick Sort Person Array,29646905335588
c,100000,100000_rows.csv,6,Start Print Results,29647013165182
c,100000,100000_rows.csv,6,Start Free Memory,29647051185882
c,100000,100000_rows.csv,6,End Program,29647091219948
c,100000,100000_rows.csv,7,Start File Read,29648395971412
c,100000,100000_rows.csv,7,Start Map to Person Record,29648454378994
c,100000,100000_rows.csv,7,Start Quick Sort Person Array,29648512857252
c,100000,100000_rows.csv,7,Start Print Results,29648618253304
c,100000,100000_rows.csv,7,Start Free Memory,29648652299124
c,100000,100000_rows.csv,7,End Program,29648714240316
c,100000,100000_rows.csv,8,Start File Read,29650062170508
c,100000,100000_rows.csv,8,Start Map to Person Record,29650115845342
c,100000,100000_rows.csv,8,Start Quick Sort Person Array,29650185820832
c,100000,100000_rows.csv,8,Start Print Results,29650290323124
c,100000,100000_rows.csv,8,Start Free Memory,29650326732512
c,100000,100000_rows.csv,8,End Program,29650391527824
c,100000,100000_rows.csv,9,Start File Read,29651741862034
c,100000,100000_rows.csv,9,Start Map to Person Record,29651793248899
c,100000,100000_rows.csv,9,Start Quick Sort Person Array,29651850164974
c,100000,100000_rows.csv,9,Start Print Results,29651968114444
c,100000,100000_rows.csv,9,Start Free Memory,29652005825080
c,100000,100000_rows.csv,9,End Program,29652061603008
c,100000,100000_rows.csv,10,Start File Read,29653405759651
c,100000,100000_rows.csv,10,Start Map to Person Record,29653442808444
c,100000,100000_rows.csv,10,Start Quick Sort Person Array,29653489726404
c,100000,100000_rows.csv,10,Start Print Results,29653577007085
c,100000,100000_rows.csv,10,Start Free Memory,29653612411370
c,100000,100000_rows.csv,10,End Program,29653656338344
c,10000,10000_rows.csv,1,Start File Read,29654751623626
c,10000,10000_rows.csv,1,Start Map to Person Record,29654759135104
c,10000,10000_rows.csv,1,Start Quick Sort Person Array,29654770129614
c,10000,10000_rows.csv,1,Start Print Results,29654777690364
c,10000,10000_rows.csv,1,Start Free Memory,29654786302256
c,10000,10000_rows.csv,1,End Program,29654802306714
c,10000,10000_rows.csv,2,Start File Read,29655874401974
c,10000,10000_rows.csv,2,Start Map to Person Record,29655881738550
c,10000,10000_rows.csv,2,Start Quick Sort Person Array,29655891553278
c,10000,10000_rows.csv,2,Start Print Results,29655900551444
c,10000,10000_rows.csv,2,Start Free Memory,29655908878692
c,10000,10000_rows.csv,2,End Program,29655924362152
c,10000,10000_rows.csv,3,Start File Read,29657009814806
c,10000,10000_rows.csv,3,Start Map to Person Record,29657016724710
c,10000,10000_rows.csv,3,Start Quick Sort Person Array,29657025822912
c,10000,10000_rows.csv,3,Start Print Results,29657031812170
c,10000,10000_rows.csv,3,Start Free Memory,29657038906046
c,10000,10000_rows.csv,3,End Program,29657050616480
c,10000,10000_rows.csv,4,Start File Read,29658148576918
c,10000,10000_rows.csv,4,Start Map to Person Record,29658155603900
c,10000,10000_rows.csv,4,Start Quick Sort Person Array,29658163721246
c,10000,10000_rows.csv,4,Start Print Results,29658169740074
c,10000,10000_rows.csv,4,Start Free Memory,29658175539488
c,10000,10000_rows.csv,4,End Program,29658184844310
c,10000,10000_rows.csv,5,Start File Read,29659283639976
c,10000,10000_rows.csv,5,Start Map to Person Record,29659290565852
c,10000,10000_rows.csv,5,Start Quick Sort Person Array,29659298730080
c,10000,10000_rows.csv,5,Start Print Results,29659305118566
c,10000,10000_rows.csv,5,Start Free Memory,29659311498806
c,10000,10000_rows.csv,5,End Program,29659322122544
c,10000,10000_rows.csv,6,Start File Read,29660413007568
c,10000,10000_rows.csv,6,Start Map to Person Record,29660419871510
c,10000,10000_rows.csv,6,Start Quick Sort Person Array,29660427229562
c,10000,10000_rows.csv,6,Start Print Results,29660433369404
c,10000,10000_rows.csv,6,Start Free Memory,29660438970546
c,10000,10000_rows.csv,6,End Program,29660447780946
c,10000,10000_rows.csv,7,Start File Read,29661594663136
c,10000,10000_rows.csv,7,Start Map to Person Record,29661601862728
c,10000,10000_rows.csv,7,Start Quick Sort Person Array,29661609774604
c,10000,10000_rows.csv,7,Start Print Results,29661615902418
c,10000,10000_rows.csv,7,Start Free Memory,29661621194500
c,10000,10000_rows.csv,7,End Program,29661630948724
c,10000,10000_rows.csv,8,Start File Read,29662767523910
c,10000,10000_rows.csv,8,Start Map to Person Record,29662772935374
c,10000,10000_rows.csv,8,Start Quick Sort Person Array,29662780986296
c,10000,10000_rows.csv,8,Start Print Results,29662786493371
c,10000,10000_rows.csv,8,Start Free Memory,29662790630778
c,10000,10000_rows.csv,8,End Program,29662797302486
c,10000,10000_rows.csv,9,Start File Read,29663887658724
c,10000,10000_rows.csv,9,Start Map to Person Record,29663899036094
c,10000,10000_rows.csv,9,Start Quick Sort Person Array,29663916867506
c,10000,10000_rows.csv,9,Start Print Results,29663934892810
c,10000,10000_rows.csv,9,Start Free Memory,29663955209314
c,10000,10000_rows.csv,9,End Program,29663978795454
c,10000,10000_rows.csv,10,Start File Read,29665076966944
c,10000,10000_rows.csv,10,Start Map to Person Record,29665084005234
c,10000,10000_rows.csv,10,Start Quick Sort Person Array,29665093576718
c,10000,10000_rows.csv,10,Start Print Results,29665101534898
c,10000,10000_rows.csv,10,Start Free Memory,29665109461046
c,10000,10000_rows.csv,10,End Program,29665122422108
c,1000,1000_rows.csv,1,Start File Read,29666221052330
c,1000,1000_rows.csv,1,Start Map to Person Record,29666223708480
c,1000,1000_rows.csv,1,Start Quick Sort Person Array,29666226185242
c,1000,1000_rows.csv,1,Start Print Results,29666228070452
c,1000,1000_rows.csv,1,Start Free Memory,29666230115738
c,1000,1000_rows.csv,1,End Program,29666232423804
c,1000,1000_rows.csv,2,Start File Read,29667272586600
c,1000,1000_rows.csv,2,Start Map to Person Record,29667275154256
c,1000,1000_rows.csv,2,Start Quick Sort Person Array,29667277705670
c,1000,1000_rows.csv,2,Start Print Results,29667279772838
c,1000,1000_rows.csv,2,Start Free Memory,29667281676184
c,1000,1000_rows.csv,2,End Program,29667283746730
c,1000,1000_rows.csv,3,Start File Read,29668325532236
c,1000,1000_rows.csv,3,Start Map to Person Record,29668328132952
c,1000,1000_rows.csv,3,Start Quick Sort Person Array,29668330731918
c,1000,1000_rows.csv,3,Start Print Results,29668332476208
c,1000,1000_rows.csv,3,Start Free Memory,29668334446480
c,1000,1000_rows.csv,3,End Program,29668336750436
c,1000,1000_rows.csv,4,Start File Read,29669370466114
c,1000,1000_rows.csv,4,Start Map to Person Record,29669373041069
c,1000,1000_rows.csv,4,Start Quick Sort Person Array,29669375491999
c,1000,1000_rows.csv,4,Start Print Results,29669377322090
c,1000,1000_rows.csv,4,Start Free Memory,29669379773022
c,1000,1000_rows.csv,4,End Program,29669382125744
c,1000,1000_rows.csv,5,Start File Read,29670410084658
c,1000,1000_rows.csv,5,Start Map to Person Record,29670413265836
c,1000,1000_rows.csv,5,Start Quick Sort Person Array,29670416790602
c,1000,1000_rows.csv,5,Start Print Results,29670419834492
c,1000,1000_rows.csv,5,Start Free Memory,29670422710460
c,1000,1000_rows.csv,5,End Program,29670426933696
c,1000,1000_rows.csv,6,Start File Read,29671464786692
c,1000,1000_rows.csv,6,Start Map to Person Record,29671467110386
c,1000,1000_rows.csv,6,Start Quick Sort Person Array,29671469525132
c,1000,1000_rows.csv,6,Start Print Results,29671471548978
c,1000,1000_rows.csv,6,Start Free Memory,29671473618990
c,1000,1000_rows.csv,6,End Program,29671476121034
c,1000,1000_rows.csv,7,Start File Read,29672523248958
c,1000,1000_rows.csv,7,Start Map to Person Record,29672525795642
c,1000,1000_rows.csv,7,Start Quick Sort Person Array,29672528201096
c,1000,1000_rows.csv,7,Start Print Results,29672530706932
c,1000,1000_rows.csv,7,Start Free Memory,29672532572690
c,1000,1000_rows.csv,7,End Program,29672535088086
c,1000,1000_rows.csv,8,Start File Read,29673550146788
c,1000,1000_rows.csv,8,Start Map to Person Record,29673552538992
c,1000,1000_rows.csv,8,Start Quick Sort Person Array,29673555416380
c,1000,1000_rows.csv,8,Start Print Results,29673557422438
c,1000,1000_rows.csv,8,Start Free Memory,29673559544708
c,1000,1000_rows.csv,8,End Program,29673561833808
c,1000,1000_rows.csv,9,Start File Read,29674624251290
c,1000,1000_rows.csv,9,Start Map to Person Record,29674627086274
c,1000,1000_rows.csv,9,Start Quick Sort Person Array,29674629870260
c,1000,1000_rows.csv,9,Start Print Results,29674632219896
c,1000,1000_rows.csv,9,Start Free Memory,29674634536334
c,1000,1000_rows.csv,9,End Program,29674637225270
c,1000,1000_rows.csv,10,Start File Read,29675716851700
c,1000,1000_rows.csv,10,Start Map to Person Record,29675719836016
c,1000,1000_rows.csv,10,Start Quick Sort Person Array,29675722140184
c,1000,1000_rows.csv,10,Start Print Results,29675724032610
c,1000,1000_rows.csv,10,Start Free Memory,29675725720364
c,1000,1000_rows.csv,10,End Program,29675727579424
