Language,Total Records,File Name,Run Number,Point,Cycles
c,0,0_rows.csv,1,Start Read People CSV File,68976669233879
c,0,0_rows.csv,1,Start Validate Person Rows,68976669866003
c,0,0_rows.csv,1,Start Quick Sort Person Rows,68976670480735
c,0,0_rows.csv,1,Start Print Person Rows,68976671060177
c,0,0_rows.csv,1,Start Free Used Memory,68976671627705
c,0,0_rows.csv,1,End Program,68976672187499
c,0,0_rows.csv,2,Start Read People CSV File,68977565302419
c,0,0_rows.csv,2,Start Validate Person Rows,68977565960445
c,0,0_rows.csv,2,Start Quick Sort Person Rows,68977566566185
c,0,0_rows.csv,2,Start Print Person Rows,68977567135741
c,0,0_rows.csv,2,Start Free Used Memory,68977567696573
c,0,0_rows.csv,2,End Program,68977568275099
c,0,0_rows.csv,3,Start Read People CSV File,68978461209449
c,0,0_rows.csv,3,Start Validate Person Rows,68978461862563
c,0,0_rows.csv,3,Start Quick Sort Person Rows,68978462444947
c,0,0_rows.csv,3,Start Print Person Rows,68978463014367
c,0,0_rows.csv,3,Start Free Used Memory,68978463574123
c,0,0_rows.csv,3,End Program,68978464161403
c,0,0_rows.csv,4,Start Read People CSV File,68979357043401
c,0,0_rows.csv,4,Start Validate Person Rows,68979357709673
c,0,0_rows.csv,4,Start Quick Sort Person Rows,68979358288833
c,0,0_rows.csv,4,Start Print Person Rows,68979358851751
c,0,0_rows.csv,4,Start Free Used Memory,68979359425985
c,0,0_rows.csv,4,End Program,68979360055895
c,0,0_rows.csv,5,Start Read People CSV File,68980253583321
c,0,0_rows.csv,5,Start Validate Person Rows,68980254232553
c,0,0_rows.csv,5,Start Quick Sort Person Rows,68980254823921
c,0,0_rows.csv,5,Start Print Person Rows,68980255408657
c,0,0_rows.csv,5,Start Free Used Memory,68980256000547
c,0,0_rows.csv,5,End Program,68980256577733
c,0,0_rows.csv,6,Start Read People CSV File,68981150212781
c,0,0_rows.csv,6,Start Validate Person Rows,68981150887667
c,0,0_rows.csv,6,Start Quick Sort Person Rows,68981151479211
c,0,0_rows.csv,6,Start Print Person Rows,68981152060797
c,0,0_rows.csv,6,Start Free Used Memory,68981152620281
c,0,0_rows.csv,6,End Program,68981153182517
c,0,0_rows.csv,7,Start Read People CSV File,68982047119357
c,0,0_rows.csv,7,Start Validate Person Rows,68982047748553
c,0,0_rows.csv,7,Start Quick Sort Person Rows,68982048330491
c,0,0_rows.csv,7,Start Print Person Rows,68982048912847
c,0,0_rows.csv,7,Start Free Used Memory,68982049540631
c,0,0_rows.csv,7,End Program,68982050121183
c,0,0_rows.csv,8,Start Read People CSV File,68982942615759
c,0,0_rows.csv,8,Start Validate Person Rows,68982943256739
c,0,0_rows.csv,8,Start Quick Sort Person Rows,68982943827179
c,0,0_rows.csv,8,Start Print Person Rows,68982944394125
c,0,0_rows.csv,8,Start Free Used Memory,68982945009459
c,0,0_rows.csv,8,End Program,68982945596107
c,0,0_rows.csv,9,Start Read People CSV File,68983839199405
c,0,0_rows.csv,9,Start Validate Person Rows,68983839835821
c,0,0_rows.csv,9,Start Quick Sort Person Rows,68983840437113
c,0,0_rows.csv,9,Start Print Person Rows,68983841010743
c,0,0_rows.csv,9,Start Free Used Memory,68983841590087
c,0,0_rows.csv,9,End Program,68983842172189
c,0,0_rows.csv,10,Start Read People CSV File,68984735573731
c,0,0_rows.csv,10,Start Validate Person Rows,68984736302781
c,0,0_rows.csv,10,Start Quick Sort Person Rows,68984736902803
c,0,0_rows.csv,10,Start Print Person Rows,68984737485005
