pageSize,memoryAllocations
0,0
1000,864
2000,864
3000,864
4000,864
5000,864
6000,1032
7000,864
8000,864
9000,1032
10000,864
11000,1032
12000,864
13000,1032
14000,944
15000,864
16000,1032
17000,944
18000,944
19000,944
20000,864
21000,1032
22000,1032
23000,944
24000,944
25000,944
26000,944
27000,1032
28000,944
29000,944
30000,1032
31000,944
32000,1032
33000,944
34000,1032
35000,944
36000,944
37000,1032
38000,944
39000,944
40000,944
41000,944
42000,944
43000,944
44000,944
45000,944
46000,944
47000,944
48000,944
49000,944
50000,944
51000,944
52000,944
53000,944
54000,944
55000,944
56000,944
57000,1024
58000,944
59000,944
60000,944
61000,1024
62000,1024
63000,1024
64000,1024
65000,1024
66000,944
67000,1024
68000,944
69000,944
70000,1024
71000,1024
72000,944
73000,1024
74000,1024
75000,1024
76000,944
77000,1024
78000,944
79000,1024
80000,1024
81000,1024
82000,1024
83000,1024
84000,944
85000,1024
86000,1024
87000,1024
88000,944
89000,944
90000,1024
91000,1024
92000,1024
93000,1024
94000,1024
95000,944
96000,1024
97000,1024
98000,1024
99000,944
100000,1104
