pageSize,totalRunTime
0, 0.00
1000, 1.47
2000, 1.57
3000, 1.51
4000, 1.48
5000, 1.60
6000, 1.60
7000, 1.51
8000, 1.59
9000, 1.66
10000, 1.53
11000, 1.61
12000, 1.48
13000, 1.45
14000, 1.47
15000, 1.40
16000, 1.43
17000, 1.53
18000, 1.40
19000, 1.40
20000, 1.47
21000, 1.43
22000, 1.44
23000, 1.44
24000, 1.42
25000, 1.43
26000, 1.43
27000, 1.44
28000, 1.44
29000, 1.47
30000, 1.50
31000, 1.73
32000, 1.72
33000, 1.57
34000, 1.67
35000, 1.75
36000, 1.62
37000, 1.68
38000, 1.76
39000, 1.62
40000, 1.71
41000, 1.79
42000, 1.61
43000, 1.63
44000, 1.64
45000, 1.61
46000, 1.59
47000, 1.58
48000, 1.57
49000, 1.62
50000, 1.64
51000, 1.58
52000, 1.61
53000, 1.61
54000, 1.63
55000, 1.63
56000, 1.65
57000, 1.65
58000, 1.68
59000, 1.68
60000, 1.74
61000, 1.77
62000, 1.70
63000, 1.73
64000, 1.85
65000, 1.93
66000, 1.78
67000, 1.96
68000, 1.84
69000, 1.79
70000, 1.95
71000, 1.81
72000, 1.95
73000, 1.98
74000, 1.83
75000, 2.01
76000, 1.83
77000, 1.86
78000, 2.03
79000, 1.83
80000, 2.02
81000, 1.91
82000, 1.88
83000, 2.06
84000, 1.88
85000, 2.02
86000, 1.96
87000, 1.89
88000, 2.04
89000, 1.91
90000, 2.08
91000, 1.98
92000, 1.91
93000, 2.10
94000, 1.92
95000, 2.14
96000, 1.90
97000, 1.99
98000, 2.12
99000, 1.96
100000, 2.15
