pageSize,memoryAllocations
0,0
1000,10024
2000,10088
3000,74088
4000,138464
5000,137960
6000,150680
7000,137960
8000,137960
9000,137960
10000,137960
11000,137960
12000,137904
13000,138464
14000,137800
15000,138464
16000,137904
17000,137800
18000,138400
19000,150680
20000,137800
21000,138240
22000,138464
23000,150640
24000,138464
25000,150640
26000,138464
27000,138464
28000,138464
29000,138464
30000,137800
31000,137800
32000,137800
33000,138464
34000,137800
35000,138464
36000,137800
37000,137800
38000,137800
39000,137800
40000,138304
41000,138304
42000,138304
43000,138304
44000,138304
45000,138304
46000,138304
47000,138304
48000,138304
49000,138304
50000,138304
51000,138304
52000,138304
53000,138304
54000,138304
55000,138304
56000,138304
57000,138304
58000,138304
59000,138304
60000,138304
61000,138304
62000,138304
63000,138304
64000,138304
65000,138304
66000,138464
67000,138464
68000,138464
69000,138464
70000,138464
71000,138464
72000,138464
73000,138464
74000,138464
75000,138304
76000,138304
77000,138304
78000,138304
79000,138304
80000,138304
81000,138304
82000,138304
83000,138304
84000,138304
85000,138304
86000,138304
87000,138304
88000,138304
89000,138464
90000,138464
91000,138304
92000,138304
93000,138464
94000,138304
95000,138464
96000,138304
97000,138304
98000,138304
99000,138304
100000,138304
