pageSize,totalRunTime
0, 0.00
1000, 0.15
2000, 0.16
3000, 0.17
4000, 0.18
5000, 0.19
6000, 0.20
7000, 0.20
8000, 0.21
9000, 0.22
10000, 0.22
11000, 0.23
12000, 0.23
13000, 0.24
14000, 0.25
15000, 0.25
16000, 0.26
17000, 0.26
18000, 0.27
19000, 0.27
20000, 0.28
21000, 0.28
22000, 0.29
23000, 0.29
24000, 0.30
25000, 0.30
26000, 0.31
27000, 0.31
28000, 0.31
29000, 0.32
30000, 0.33
31000, 0.33
32000, 0.34
33000, 0.34
34000, 0.34
35000, 0.36
36000, 0.35
37000, 0.36
38000, 0.37
39000, 0.37
40000, 0.38
41000, 0.39
42000, 0.41
43000, 0.42
44000, 0.42
45000, 0.43
46000, 0.44
47000, 0.44
48000, 0.44
49000, 0.46
50000, 0.44
51000, 0.46
52000, 0.48
53000, 0.51
54000, 0.50
55000, 0.50
56000, 0.52
57000, 0.50
58000, 0.51
59000, 0.52
60000, 0.52
61000, 0.54
62000, 0.55
63000, 0.57
64000, 0.57
65000, 0.58
66000, 0.58
67000, 0.58
68000, 0.59
69000, 0.61
70000, 0.62
71000, 0.61
72000, 0.60
73000, 0.61
74000, 0.61
75000, 0.63
76000, 0.65
77000, 0.66
78000, 0.66
79000, 0.66
80000, 0.65
81000, 0.66
82000, 0.69
83000, 0.69
84000, 0.70
85000, 0.68
86000, 0.67
87000, 0.68
88000, 0.74
89000, 0.80
90000, 0.75
91000, 0.73
92000, 0.72
93000, 0.72
94000, 0.78
95000, 0.80
96000, 0.80
97000, 0.77
98000, 0.78
99000, 0.81
100000, 0.86
