pageSize,memoryAllocations
0,0
1000,760
2000,840
3000,80840
4000,160680
5000,160680
6000,160680
7000,160680
8000,161376
9000,160680
10000,161376
11000,160760
12000,160760
13000,160680
14000,160848
15000,161376
16000,161376
17000,160848
18000,160760
19000,160760
20000,161376
21000,160760
22000,182560
23000,160760
24000,182560
25000,160760
26000,160760
27000,160760
28000,182560
29000,182560
30000,182560
31000,182640
32000,160760
33000,160760
34000,160760
35000,182640
36000,160760
37000,183088
38000,160760
39000,182640
40000,160760
41000,160760
42000,160760
43000,182640
44000,182640
45000,182640
46000,182640
47000,160760
48000,160760
49000,182640
50000,182640
51000,160760
52000,182640
53000,160760
54000,160760
55000,182640
56000,182640
57000,160760
58000,160760
59000,160760
60000,160760
61000,160760
62000,182640
63000,182640
64000,182640
65000,160760
66000,160760
67000,182640
68000,160760
69000,160760
70000,182640
71000,182640
72000,160760
73000,160760
74000,182640
75000,182640
76000,160760
77000,160760
78000,160760
79000,160760
80000,160760
81000,160760
82000,160760
83000,182640
84000,182640
85000,182640
86000,160760
87000,182640
88000,182640
89000,182640
90000,182640
91000,160760
92000,182640
93000,182640
94000,182640
95000,160760
96000,182640
97000,182640
98000,182640
99000,182640
100000,182640
