pageSize,totalRunTime
0, 0.00
1000, 1.32
2000, 1.34
3000, 1.37
4000, 1.47
5000, 1.56
6000, 1.48
7000, 1.60
8000, 1.58
9000, 1.49
10000, 1.55
11000, 1.61
12000, 1.52
13000, 1.53
14000, 1.64
15000, 1.53
16000, 1.54
17000, 1.65
18000, 1.58
19000, 1.55
20000, 1.66
21000, 1.65
22000, 1.55
23000, 1.66
24000, 1.66
25000, 1.56
26000, 1.67
27000, 1.69
28000, 1.59
29000, 1.69
30000, 1.69
31000, 1.60
32000, 1.70
33000, 1.72
34000, 1.62
35000, 1.72
36000, 1.74
37000, 1.66
38000, 1.76
39000, 1.77
40000, 1.66
41000, 1.77
42000, 1.76
43000, 1.69
44000, 1.82
45000, 1.74
46000, 1.73
47000, 1.83
48000, 1.72
49000, 1.74
50000, 1.85
51000, 1.75
52000, 1.80
53000, 1.87
54000, 1.73
55000, 1.88
56000, 1.84
57000, 1.77
58000, 1.89
59000, 1.77
60000, 1.79
61000, 1.94
62000, 1.80
63000, 1.91
64000, 1.89
65000, 1.73
66000, 1.93
67000, 1.82
68000, 1.87
69000, 1.95
70000, 1.82
71000, 1.99
72000, 1.89
73000, 1.88
74000, 1.98
75000, 1.87
76000, 2.00
77000, 1.96
78000, 1.90
79000, 2.05
80000, 1.92
81000, 2.04
82000, 1.98
83000, 1.91
84000, 2.02
85000, 1.95
86000, 1.88
87000, 1.80
88000, 1.81
89000, 1.80
90000, 1.78
91000, 1.88
92000, 1.98
93000, 1.81
94000, 1.84
95000, 1.82
96000, 1.97
97000, 2.11
98000, 1.99
99000, 2.10
100000, 2.06
